id,sku,name,type,category,price,regular_price,discount_pct,price_txt,on_sale,price_contact,in_stock,stock_label,sale_until,price_verified,variation_count,permalink
2556,"DTC40","Đèn trụ cổng năng lượng mặt trời M-TR 40cm Maxsolar",variable,"Đèn trụ cổng năng lượng mặt trời",1550000,2000000,22,"1.550.000 ₫",true,false,true,"Còn hàng","",true,2,https://maxsolar.vn/den-tru-cong-nang-luong-mat-troi-40x40cm/
7669,"M-Q988","Quạt Cây Năng Lượng Mặt Trời M-Q988",simple,"Quạt năng lượng mặt trời",2000000,2800000,29,"2.000.000 ₫",true,false,true,"Còn hàng","2027-12-31",true,0,https://maxsolar.vn/quat-cay-nang-luong-mat-troi-m-q988/
7612,"M-Q888","Quạt năng lượng mặt trời Maxsolar cao cấp M-Q888",simple,"Quạt năng lượng mặt trời",1800000,3000000,40,"1.800.000 ₫",true,false,true,"Còn hàng","2026-09-23",true,0,https://maxsolar.vn/quat-nang-luong-mat-troi-maxsolar-cao-cap-m-q888/
7620,"M-Q118","Quạt năng lượng mặt trời Maxsolar M-Q118 chính hãng",simple,"Quạt năng lượng mặt trời",1350000,1970000,31,"1.350.000 ₫",true,false,true,"Còn hàng","2027-12-31",true,0,https://maxsolar.vn/quat-nang-luong-mat-troi-maxsolar-m-q118/
4821,"M-SP35W","Tấm pin đèn năng lượng mặt trời Mono M-SP35W",simple,"Tấm pin đèn năng lượng mặt trời",0,0,0,"Liên hệ",false,true,true,"Còn hàng","2027-12-31",true,0,https://maxsolar.vn/tam-pin-den-nang-luong-mat-troi-mono-m-sp35w/
4824,"M-SP25W","Tấm pin năng lượng mặt trời Mono M-SP25W",simple,"Tấm pin đèn năng lượng mặt trời",0,0,0,"Liên hệ",false,true,true,"Còn hàng","2027-12-31",true,0,https://maxsolar.vn/tam-pin-nang-luong-mat-troi-mono-m-sp25w/
4781,"M-SP30W","Tấm pin năng lượng mặt trời mono M-SP30W",simple,"Tấm pin đèn năng lượng mặt trời",0,0,0,"Liên hệ",false,true,true,"Còn hàng","2027-12-31",true,0,https://maxsolar.vn/tam-pin-nang-luong-mat-troi-mono-m-sp30w/
4266,"M-SP60W","Tấm pin năng lượng mặt trời mono M-SP60W",simple,"Tấm pin đèn năng lượng mặt trời",0,0,0,"Liên hệ",false,true,true,"Còn hàng","2027-12-31",true,0,https://maxsolar.vn/tam-pin-nang-luong-mat-troi-mono-m-sp60w/
4828,"M-SP60W – 67","Tấm pin năng lượng mặt trời Mono M-SP60W 67x53mm",simple,"Tấm pin đèn năng lượng mặt trời",0,0,0,"Liên hệ",false,true,true,"Còn hàng","2027-12-31",true,0,https://maxsolar.vn/tam-pin-nang-luong-mat-troi-mono-m-sp60w-67x53mm/
4833,"M-SP70W","Tấm pin năng lượng mặt trời Mono M-SP70W",simple,"Phụ kiện đèn năng lượng mặt trời",0,0,0,"Liên hệ",false,true,true,"Còn hàng","2027-12-31",true,0,https://maxsolar.vn/tam-pin-nang-luong-mat-troi-mono-m-sp70w/
